x: 2 | y: 3 | z: 4 - 0.150370
x: 3 | y: 3 | z: 4 - 0.073479
x: 4 | y: 3 | z: 4 - 0.058359
x: 5 | y: 3 | z: 4 - 0.049904
x: 6 | y: 3 | z: 4 - 0.081874
x: 7 | y: 3 | z: 4 - 0.147726
x: 8 | y: 3 | z: 4 - 0.320242
x: 9 | y: 3 | z: 4 - 0.612149
x: 0 | y: 3 | z: 5 - 0.612151
x: 1 | y: 3 | z: 5 - 0.318762
x: 2 | y: 3 | z: 5 - 0.147739
x: 3 | y: 3 | z: 5 - 0.079809
x: 4 | y: 3 | z: 5 - 0.049904
x: 5 | y: 3 | z: 5 - 0.061105
x: 6 | y: 3 | z: 5 - 0.073419
x: 7 | y: 3 | z: 5 - 0.154055
x: 8 | y: 3 | z: 5 - 0.317617
x: 9 | y: 3 | z: 5 - 0.613224
x: 0 | y: 3 | z: 6 - 0.622828
x: 1 | y: 3 | z: 6 - 0.335578
x: 2 | y: 3 | z: 6 - 0.172163
x: 3 | y: 3 | z: 6 - 0.096664
x: 4 | y: 3 | z: 6 - 0.081874
x: 5 | y: 3 | z: 6 - 0.073419
x: 6 | y: 3 | z: 6 - 0.105058
x: 7 | y: 3 | z: 6 - 0.169519
x: 8 | y: 3 | z: 6 - 0.338194
x: 9 | y: 3 | z: 6 - 0.622583
x: 0 | y: 3 | z: 7 - 0.654337
x: 1 | y: 3 | z: 7 - 0.391248
x: 2 | y: 3 | z: 7 - 0.237392
x: 3 | y: 3 | z: 7 - 0.172974
x: 4 | y: 3 | z: 7 - 0.147726
x: 5 | y: 3 | z: 7 - 0.154055
x: 6 | y: 3 | z: 7 - 0.169519
x: 7 | y: 3 | z: 7 - 0.240825
x: 8 | y: 3 | z: 7 - 0.390704
x: 9 | y: 3 | z: 7 - 0.654857
x: 0 | y: 3 | z: 8 - 0.724738
x: 1 | y: 3 | z: 8 - 0.514090
x: 2 | y: 3 | z: 8 - 0.391401
x: 3 | y: 3 | z: 8 - 0.335576
x: 4 | y: 3 | z: 8 - 0.320242
x: 5 | y: 3 | z: 8 - 0.317617
x: 6 | y: 3 | z: 8 - 0.338194
x: 7 | y: 3 | z: 8 - 0.390704
x: 8 | y: 3 | z: 8 - 0.514784
x: 9 | y: 3 | z: 8 - 0.724696
x: 0 | y: 3 | z: 9 - 0.844235
x: 1 | y: 3 | z: 9 - 0.724748
x: 2 | y: 3 | z: 9 - 0.654336
